Reaction,LB,UB,c,EQUATION,subSystem,GeneRule,RXNname
HMR_4108,0,1000,0,acetyl adenylate[c] + CoA[c] => acetyl-CoA[c] + AMP[c] + H+[c],Glycolysis / Gluconeogenesis,ENSG00000131069,
HMR_4133,0,1000,0,acetate[c] + ATP[c] + H+[c] => acetyl adenylate[c] + PPi[c],Glycolysis / Gluconeogenesis,ENSG00000131069,
HMR_4137,0,1000,0,CoA[m] + NAD+[m] + pyruvate[m] => acetyl-CoA[m] + CO2[m] + NADH[m],Glycolysis / Gluconeogenesis,ENSG00000091140 and ENSG00000110435 and ENSG00000131828 and ENSG00000150768 and ENSG00000163114 and ENSG00000168291,
HMR_4281,-1000,1000,0,H+[p] + NADH[p] + pyruvate[p] <=> L-lactate[p] + NAD+[p],Glycolysis / Gluconeogenesis,ENSG00000111716 or ENSG00000134333 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989,
HMR_4388,-1000,1000,0,H+[c] + NADH[c] + pyruvate[c] <=> L-lactate[c] + NAD+[c],Glycolysis / Gluconeogenesis,ENSG00000111716 or ENSG00000134333 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989,
HMR_4283,0,1000,0,acetaldehyde[c] + H2O[c] + NADP+[c] => acetate[c] + 2 H+[c] + NADPH[c],Glycolysis / Gluconeogenesis,ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,
HMR_8357,0,1000,0,acetaldehyde[m] + H2O[m] + NAD+[m] => acetate[m] + 2 H+[m] + NADH[m],Glycolysis / Gluconeogenesis,ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904,
HMR_4379,0,1000,0,ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-1;6-bisphosphate[c] + H+[c],Glycolysis / Gluconeogenesis,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,
HMR_4301,0,1000,0,fructose-6-phosphate[c] + UTP[c] => fructose-1;6-bisphosphate[c] + H+[c] + UDP[c],Glycolysis / Gluconeogenesis,ENSG00000067057 or ENSG00000141959 or ENSG00000152556 or ENSG00000160226,
HMR_4355,0,1000,0,DHAP[c] + erythrose-4-phosphate[c] => sedoheptulose-1;7-bisphosphate[c],Glycolysis / Gluconeogenesis,ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043,
HMR_4358,0,1000,0,ADP[c] + H+[c] + PEP[c] => ATP[c] + pyruvate[c],Glycolysis / Gluconeogenesis,ENSG00000067225 or ENSG00000121900 or ENSG00000143627 or ENSG00000143630,
HMR_4360,0,1000,0,H2O[c] + methylglyoxal[c] + NADP+[c] => 2 H+[c] + NADPH[c] + pyruvate[c],Glycolysis / Gluconeogenesis,ENSG00000180011,
HMR_4363,-1000,1000,0,2-phospho-D-glycerate[c] <=> H2O[c] + PEP[c],Glycolysis / Gluconeogenesis,ENSG00000074800 or ENSG00000108515 or ENSG00000111674,
HMR_4365,-1000,1000,0,2-phospho-D-glycerate[c] <=> 3-phospho-D-glycerate[c],Glycolysis / Gluconeogenesis,ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784,
HMR_4368,-1000,1000,0,1;3-bisphospho-D-glycerate[c] + ADP[c] <=> 3-phospho-D-glycerate[c] + ATP[c],Glycolysis / Gluconeogenesis,ENSG00000096006 or ENSG00000102144 or ENSG00000154305 or ENSG00000170950,
HMR_4370,0,1000,0,1;3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + H+[c] + Pi[c],Glycolysis / Gluconeogenesis,ENSG00000119640 or ENSG00000170634,
HMR_4371,0,1000,0,1;3-bisphospho-D-glycerate[c] => 2;3-bisphospho-D-glycerate[c] + H+[c],Glycolysis / Gluconeogenesis,ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784,
HMR_4372,0,1000,0,2;3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + Pi[c],Glycolysis / Gluconeogenesis,ENSG00000172331,
HMR_4373,-1000,1000,0,1;3-bisphospho-D-glycerate[c] + H+[c] + NADH[c] <=> GAP[c] + NAD+[c] + Pi[c],Glycolysis / Gluconeogenesis,ENSG00000105679 or ENSG00000111640,
HMR_4375,-1000,1000,0,DHAP[c] + GAP[c] <=> fructose-1;6-bisphosphate[c],Glycolysis / Gluconeogenesis,ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043,
HMR_4377,0,1000,0,fructose-1;6-bisphosphate[c] + H2O[c] => fructose-6-phosphate[c] + Pi[c],Glycolysis / Gluconeogenesis,ENSG00000130957 or ENSG00000165140,
HMR_4381,-1000,1000,0,fructose-6-phosphate[c] <=> glucose-6-phosphate[c],Glycolysis / Gluconeogenesis,ENSG00000105220,
HMR_4391,-1000,1000,0,DHAP[c] <=> GAP[c],Glycolysis / Gluconeogenesis,ENSG00000111669,
HMR_4394,0,1000,0,ATP[c] + glucose[c] => ADP[c] + glucose-6-phosphate[c] + H+[c],Glycolysis / Gluconeogenesis,ENSG00000106633 or ENSG00000156510 or ENSG00000156515 or ENSG00000159322 or ENSG00000159399 or ENSG00000160883,
HMR_4396,-1000,1000,0,glucose-1-phosphate[c] <=> glucose-6-phosphate[c],Glycolysis / Gluconeogenesis,ENSG00000079739 or ENSG00000154330 or ENSG00000169299,
HMR_4521,0,1000,0,glucose-6-phosphate[r] + H2O[r] => glucose[r] + Pi[r],Glycolysis / Gluconeogenesis,ENSG00000131482 or ENSG00000141349 or ENSG00000152254,
HMR_6410,0,1000,0,H+[m] + lipoamide[m] + pyruvate[m] => CO2[m] + S-acetyldihydrolipoamide[m],Glycolysis / Gluconeogenesis,(ENSG00000131828 and ENSG00000168291) or (ENSG00000163114 and ENSG00000168291),
HMR_6412,0,1000,0,CoA[m] + S-acetyldihydrolipoamide[m] => acetyl-CoA[m] + dihydrolipoamide[m],Glycolysis / Gluconeogenesis,(ENSG00000091140 and ENSG00000131828 and ENSG00000150768 and ENSG00000168291) or (ENSG00000091140 and ENSG00000150768 and ENSG00000163114 and ENSG00000168291),
HMR_7745,-1000,1000,0,beta-D-glucose[c] <=> glucose[c],Glycolysis / Gluconeogenesis,ENSG00000143891,
HMR_7746,0,1000,0,ATP[c] + beta-D-glucose[c] => ADP[c] + beta-D-glucose-6-phosphate[c] + H+[c],Glycolysis / Gluconeogenesis,ENSG00000106633 or ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883,
HMR_7747,0,1000,0,ADP[c] + beta-D-glucose[c] => AMP[c] + beta-D-glucose-6-phosphate[c] + H+[c],Glycolysis / Gluconeogenesis,ENSG00000159322,
HMR_7748,-1000,1000,0,beta-D-glucose-6-phosphate[c] <=> glucose-6-phosphate[c],Glycolysis / Gluconeogenesis,ENSG00000105220,
HMR_7749,-1000,1000,0,beta-D-glucose-6-phosphate[c] <=> fructose-6-phosphate[c],Glycolysis / Gluconeogenesis,ENSG00000105220,
HMR_8360,0,1000,0,ethanol[p] + H2O2[p] => acetaldehyde[p] + 2 H2O[p],Glycolysis / Gluconeogenesis,ENSG00000121691,
HMR_8652,0,1000,0,carbamoyl-phosphate[r] + glucose[r] => CO2[r] + glucose-6-phosphate[r] + NH3[r],Glycolysis / Gluconeogenesis,ENSG00000131482 or ENSG00000141349 or ENSG00000152254,
HMR_8757,0,1000,0,ethanol[c] + H+[c] + NADPH[c] + O2[c] => acetaldehyde[c] + 2 H2O[c] + NADP+[c],Glycolysis / Gluconeogenesis,ENSG00000130649,
HMR_3989,0,1000,0,H2O[s] + maltose[s] => 2 glucose[s],Starch and sucrose metabolism,ENSG00000092529 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335,
HMR_4122,0,1000,0,H2O[c] + 2 NAD+[c] + UDP-glucose[c] => 3 H+[c] + 2 NADH[c] + UDP-glucuronate[c],Starch and sucrose metabolism,ENSG00000109814,
HMR_4837,0,1000,0,H2O[s] + trehalose[s] => 2 glucose[s],Starch and sucrose metabolism,ENSG00000118094 or ENSG00000142102,
HMR_5395,0,1000,0,glycogenin[c] + 8 UDP-glucose[c] => glycogenin G8[c] + 8 H+[c] + 8 UDP[c],Starch and sucrose metabolism,ENSG00000056998 or ENSG00000163754,
HMR_5396,0,1000,0,glycogenin G8[c] + 3 UDP-glucose[c] => glycogenin G11[c] + 3 H+[c] + 3 UDP[c],Starch and sucrose metabolism,ENSG00000056998 or ENSG00000104812 or ENSG00000111713 or ENSG00000163754,
HMR_9727,0,1000,0,UDP-glucose[c] => H+[c] + UDP[c] + glycogen[c],Starch and sucrose metabolism,ENSG00000104812 or ENSG00000111713 or ENSG00000119938 or ENSG00000173281,
HMR_5397,0,1000,0,glycogenin G11[c] => glycogenin G4G7[c],Starch and sucrose metabolism,ENSG00000114480,
HMR_5398,0,1000,0,glycogenin G4G7[c] + 3 Pi[c] => 3 glucose-1-phosphate[c] + glycogenin G4G4[c],Starch and sucrose metabolism,ENSG00000068976 or ENSG00000100504 or ENSG00000100994,
HMR_5399,0,1000,0,glycogenin G4G4[c] => glycogenin G7G1[c],Starch and sucrose metabolism,ENSG00000162688,
HMR_5400,0,1000,0,glycogenin G7G1[c] + H2O[c] => glucose[c] + glycogenin G7[c],Starch and sucrose metabolism,ENSG00000162688,
HMR_5401,0,1000,0,glycogenin G7[c] + 7 Pi[c] => 7 glucose-1-phosphate[c] + glycogenin[c],Starch and sucrose metabolism,ENSG00000068976 or ENSG00000100504 or ENSG00000100994,
HMR_8568,0,1000,0,H2O[c] + maltodecaose[c] => fructose[c] + maltononaose[c],Starch and sucrose metabolism,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
HMR_8569,0,1000,0,H2O[s] + maltodecaose[s] => glucose[s] + maltononaose[s],Starch and sucrose metabolism,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
HMR_8570,0,1000,0,2 H2O[c] + maltononaose[c] => 2 fructose[c] + maltoheptaose[c],Starch and sucrose metabolism,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
HMR_8571,0,1000,0,2 H2O[s] + maltononaose[s] => 2 glucose[s] + maltoheptaose[s],Starch and sucrose metabolism,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
HMR_8572,0,1000,0,H2O[c] + maltoheptaose[c] => fructose[c] + maltohexaose[c],Starch and sucrose metabolism,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
HMR_8573,0,1000,0,H2O[s] + maltoheptaose[s] => glucose[s] + maltohexaose[s],Starch and sucrose metabolism,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
HMR_8574,0,1000,0,H2O[c] + maltohexaose[c] => fructose[c] + maltopentaose[c],Starch and sucrose metabolism,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
HMR_8575,0,1000,0,H2O[s] + maltohexaose[s] => glucose[s] + maltopentaose[s],Starch and sucrose metabolism,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
HMR_8576,0,1000,0,H2O[c] + maltopentaose[c] => fructose[c] + maltotetraose[c],Starch and sucrose metabolism,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
HMR_8577,0,1000,0,H2O[s] + maltopentaose[s] => glucose[s] + maltotetraose[s],Starch and sucrose metabolism,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
HMR_8578,0,1000,0,H2O[c] + maltotetraose[c] => fructose[c] + maltotriose[c],Starch and sucrose metabolism,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
HMR_8579,0,1000,0,H2O[s] + maltotetraose[s] => glucose[s] + maltotriose[s],Starch and sucrose metabolism,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
HMR_8581,0,1000,0,H2O[s] + maltotriose[s] => glucose[s] + maltose[s],Starch and sucrose metabolism,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
HMR_8591,0,1000,0,H2O[c] + maltotriose[c] => glucose[c] + maltose[c],Starch and sucrose metabolism,ENSG00000214013 or ENSG00000257335,
HMR_8592,0,1000,0,H2O[l] + maltotriose[l] => glucose[l] + maltose[l],Starch and sucrose metabolism,ENSG00000171298,
HMR_8580,0,1000,0,H2O[c] + maltotriose[c] => fructose[c] + maltose[c],Starch and sucrose metabolism,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
HMR_8582,0,1000,0,H2O[c] + maltose[c] => 2 fructose[c],Starch and sucrose metabolism,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
HMR_8587,0,1000,0,H2O[c] + maltose[c] => 2 glucose[c],Starch and sucrose metabolism,ENSG00000214013 or ENSG00000257335,
HMR_8589,0,1000,0,H2O[l] + maltose[l] => 2 glucose[l],Starch and sucrose metabolism,ENSG00000171298,
HMR_8583,0,1000,0,8 H2O[s] + starch structure 1[s] => 8 glucose[s] + starch structure 2[s],Starch and sucrose metabolism,ENSG00000257335,
HMR_8584,0,1000,0,H2O[s] + starch structure 2[s] => glucose[s] + maltose[s],Starch and sucrose metabolism,ENSG00000090402,
HMR_8585,0,1000,0,1;3-bisphospho-D-glycerate[c] + glucose-1-phosphate[c] => 3-phospho-D-glycerate[c] + glucose-1;6-bisphosphate[c],Starch and sucrose metabolism,ENSG00000165434,
HMR_3944,0,1000,0,glucose-1-phosphate[c] + H+[c] + UTP[c] => PPi[c] + UDP-glucose[c],Galactose metabolism,ENSG00000169764,
HMR_4128,-1000,1000,0,UDP-galactose[c] <=> UDP-glucose[c],Galactose metabolism,ENSG00000117308,
HMR_4130,0,1000,0,ATP[c] + galactose[c] => ADP[c] + alpha-D-galactose-1-phosphate[c] + H+[c],Galactose metabolism,ENSG00000108479 or ENSG00000156958,
HMR_4131,-1000,1000,0,glucose-1-phosphate[c] + UDP-galactose[c] <=> alpha-D-galactose-1-phosphate[c] + UDP-glucose[c],Galactose metabolism,ENSG00000213930,
HMR_4132,0,1000,0,galactose-1-phosphate[c] + UDP-glucose[c] => glucose-1-phosphate[c] + UDP-galactose[c],Galactose metabolism,ENSG00000213930,
HMR_4303,0,1000,0,H2O[s] + sucrose[s] => fructose[s] + glucose[s],Galactose metabolism,ENSG00000090402 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335,
HMR_4414,0,1000,0,ATP[c] + galactose[c] => ADP[c] + galactose-1-phosphate[c] + H+[c],Galactose metabolism,ENSG00000108479 or ENSG00000156958 or ENSG00000166262,
HMR_4415,0,1000,0,H2O[s] + lactose[s] => galactose[s] + glucose[s],Galactose metabolism,ENSG00000115850 and ENSG00000163521 and ENSG00000170266 and ENSG00000188167,
HMR_4416,0,1000,0,galactosylglycerol[s] + H2O[s] => galactose[s] + glycerol[s],Galactose metabolism,ENSG00000102393 or ENSG00000170266 or ENSG00000241343,
HMR_4774,-1000,1000,0,CDP[c] + H+[c] + tagatose-1;6-bisphosphate[c] <=> CTP[c] + D-tagatose-6-phosphate[c],Galactose metabolism,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,
HMR_4775,-1000,1000,0,D-tagatose-6-phosphate[c] + ITP[c] <=> H+[c] + IDP[c] + tagatose-1;6-bisphosphate[c],Galactose metabolism,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,
HMR_4831,-1000,1000,0,lactose[s] + NAD+[s] <=> 3-ketolactose[s] + H+[s] + NADH[s],Galactose metabolism,,
HMR_4832,-1000,1000,0,3-keto-beta-D-galactose[s] + glucose[s] <=> 3-ketolactose[s] + H2O[s],Galactose metabolism,ENSG00000115850 and ENSG00000163521 and ENSG00000170266 and ENSG00000188167,
HMR_7674,0,1000,0,glucose[g] + UDP-galactose[g] => H+[g] + lactose[g] + UDP[g],Galactose metabolism,ENSG00000086062 or ENSG00000117411 or ENSG00000167531,
HMR_8761,0,1000,0,ATP[c] + D-tagatose[c] => ADP[c] + D-tagatose-6-phosphate[c] + H+[c],Galactose metabolism,ENSG00000138030,
HMR_8762,-1000,1000,0,D-tagatose-6-phosphate[c] <=> DHAP[c] + glyceraldehyde[c],Galactose metabolism,ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043,
HMR_8764,0,1000,0,H2O[l] + lactose[l] => galactose[l] + glucose[l],Galactose metabolism,ENSG00000115850,
HMR_8766,-1000,1000,0,galactose[c] + H+[c] + NADPH[c] <=> galactitol[c] + NADP+[c],Galactose metabolism,ENSG00000085662 or ENSG00000198074,
HMR_8767,0,1000,0,alpha-D-galactose-1-phosphate[c] + H+[c] + UTP[c] => PPi[c] + UDP-galactose[c],Galactose metabolism,ENSG00000213930,
HMR_0454,0,1000,0,ATP[c] + glyceraldehyde[c] => ADP[c] + GAP[c] + H+[c],Fructose and mannose metabolism,,
HMR_4297,0,1000,0,ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-2;6-bisphosphate[c] + H+[c],Fructose and mannose metabolism,ENSG00000114268 or ENSG00000123836 or ENSG00000158571 or ENSG00000170525,
HMR_4310,0,1000,0,ATP[c] + fructose[c] => ADP[c] + fructose-1-phosphate[c] + H+[c],Fructose and mannose metabolism,ENSG00000138030,
HMR_4315,-1000,1000,0,D-glucitol[c] + NAD+[c] <=> fructose[c] + H+[c] + NADH[c],Fructose and mannose metabolism,ENSG00000140263,
HMR_4316,-1000,1000,0,D-glucitol[c] + NADP+[c] <=> glucose[c] + H+[c] + NADPH[c],Fructose and mannose metabolism,ENSG00000085662 or ENSG00000198074,
HMR_4317,0,1000,0,ATP[c] + D-glucitol[c] => ADP[c] + H+[c] + sorbitol-3-phosphate[c],Fructose and mannose metabolism,ENSG00000116199 or ENSG00000141560 or ENSG00000162408 or ENSG00000167363 or ENSG00000172456,
HMR_4318,0,1000,0,ATP[c] + fructose[c] => ADP[c] + fructose-3-phosphate[c] + H+[c],Fructose and mannose metabolism,ENSG00000116199 or ENSG00000141560 or ENSG00000162408 or ENSG00000167363 or ENSG00000172456,
HMR_4319,0,1000,0,ATP[c] + fructose[c] => ADP[c] + fructose-6-phosphate[c] + H+[c],Fructose and mannose metabolism,ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883,
HMR_4320,0,1000,0,ATP[c] + mannose-1-phosphate[c] => ADP[c] + D-mannose-1;6-bisphosphate[c] + H+[c],Fructose and mannose metabolism,ENSG00000116199 or ENSG00000141560 or ENSG00000162408 or ENSG00000167363 or ENSG00000172456,
HMR_4356,0,1000,0,DHAP[c] + glyceraldehyde[c] => fructose-1-phosphate[c],Fructose and mannose metabolism,ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043,
HMR_4383,-1000,1000,0,fructose-6-phosphate[c] <=> mannose-6-phosphate[c],Fructose and mannose metabolism,ENSG00000178802,
HMR_4385,0,1000,0,mannose-6-phosphate[c] => mannose-1-phosphate[c],Fructose and mannose metabolism,ENSG00000100413 or ENSG00000100417 or ENSG00000140650,
HMR_4386,0,1000,0,GDP[c] + H+[c] + mannose-1-phosphate[c] => GDP-mannose[c] + Pi[c],Fructose and mannose metabolism,ENSG00000144591 or ENSG00000164068 or ENSG00000173540 or ENSG00000176020,
HMR_4387,0,1000,0,GTP[c] + H+[c] + mannose-1-phosphate[c] => GDP-mannose[c] + PPi[c],Fructose and mannose metabolism,ENSG00000144591 or ENSG00000173540 or ENSG00000176020,
HMR_4399,0,1000,0,GDP-mannose[c] => GDP-4-dehydro-6-deoxy-D-mannose[c] + H2O[c],Fructose and mannose metabolism,ENSG00000112699,
HMR_4400,0,1000,0,GDP-4-dehydro-6-deoxy-D-mannose[c] + H+[c] + NADH[c] => GDP-L-fucose[c] + NAD+[c],Fructose and mannose metabolism,ENSG00000104522,
HMR_4401,-1000,1000,0,GDP-L-fucose[c] + PPi[c] <=> GTP[c] + H+[c] + L-fucose-1-phosphate[c],Fructose and mannose metabolism,ENSG00000116783 or ENSG00000254685 or ENSG00000259030,
HMR_4402,-1000,1000,0,6-deoxy-L-galactose[c] + ATP[c] <=> ADP[c] + H+[c] + L-fucose-1-phosphate[c],Fructose and mannose metabolism,ENSG00000157353,
HMR_4403,0,1000,0,6-deoxy-L-galactose[c] => L-fuculose[c],Fructose and mannose metabolism,,
HMR_4490,0,1000,0,ATP[c] + mannose[c] => ADP[c] + H+[c] + mannose-6-phosphate[c],Fructose and mannose metabolism,ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883,
HMR_4706,0,1000,0,fructose-2;6-bisphosphate[c] + H2O[c] => fructose-6-phosphate[c] + Pi[c],Fructose and mannose metabolism,ENSG00000078237 or ENSG00000108813 or ENSG00000114268 or ENSG00000123836 or ENSG00000158571 or ENSG00000170525,
HMR_8768,0,1000,0,GDP-4-dehydro-6-deoxy-D-mannose[c] + H+[c] + NADPH[c] => GDP-L-fucose[c] + NADP+[c],Fructose and mannose metabolism,ENSG00000104522,
